"Formes";"Texte1";"Texte2";"Texte3";"Texte4";"Texte5";"Texte6";"Texte7";"Texte8";"Texte9";"Texte10";"Texte11";"Texte12"
"a";1;2;3;0;2;2;1;1;0;0;0;2
"ab";4;2;0;2;1;2;1;2;4;1;1;1
"abaissat";1;0;0;0;0;0;0;0;0;0;0;0
"abans";0;0;1;0;0;0;0;0;0;0;0;0
"abau";1;0;0;0;0;0;0;0;0;0;0;0
"abellir";0;0;0;0;0;0;0;1;0;0;0;0
"abra";0;0;1;0;0;0;0;0;0;0;0;0
"abrasar";0;0;1;0;0;0;0;0;0;0;0;0
"abronquitz";0;0;0;1;0;0;0;0;0;0;0;0
"acabar";0;0;0;0;0;0;0;0;0;0;1;0
"acazer";0;0;0;0;0;0;0;0;0;0;0;1
"acni";0;0;0;0;0;0;0;1;1;0;0;0
"acropitz";0;1;0;0;0;0;0;0;0;0;0;0
"acui";0;0;0;0;0;0;0;1;1;0;0;0
"acuillitz";0;1;0;0;0;0;0;0;0;0;0;0
"ad";0;0;0;0;0;0;0;0;1;0;0;0
"adam";0;0;1;0;0;0;0;0;0;0;0;0
"ades";0;0;0;0;0;2;0;0;0;0;0;0
"adieu";0;0;0;0;0;0;0;0;0;0;0;1
"adoncs";0;1;1;0;0;0;1;0;0;0;0;0
"adreicha";0;0;0;0;0;0;0;0;0;0;1;0
"afans";0;0;0;0;1;0;0;0;0;0;0;0
"affan";0;0;0;0;0;0;0;0;0;0;1;0
"affans";0;0;0;0;1;0;0;0;0;0;0;0
"affar";0;0;0;0;0;0;0;0;0;0;1;0
"affars";0;0;0;0;1;1;0;0;0;0;0;0
"affinar";0;0;0;0;0;0;0;0;0;0;1;0
"afinat";0;0;0;0;0;0;0;0;0;0;1;0
"africha";0;0;0;1;0;0;0;0;0;0;0;0
"agaran";0;0;0;0;0;0;0;0;0;0;1;0
"agra";0;0;0;0;0;0;1;0;0;0;1;0
"agrades";0;0;0;0;0;1;0;0;0;0;0;0
"agradet";0;0;0;0;0;1;0;0;0;0;0;0
"agron";0;0;1;0;0;0;0;0;0;0;0;0
"agues";0;0;0;0;0;0;1;1;0;0;0;0
"agìquir";0;0;0;0;0;0;0;0;0;0;0;1
"ai";1;2;0;1;0;0;3;2;1;4;3;2
"aicill";0;0;0;0;0;0;0;1;0;0;0;0
"aillors";0;0;0;0;1;1;0;0;0;1;0;0
"aips";0;0;0;0;0;0;0;0;0;0;2;0
"aissi";1;0;1;0;0;0;0;0;0;0;0;0
"aisso";0;0;0;0;0;0;1;0;0;0;0;1
"aitai";0;0;0;0;1;0;0;1;0;0;0;0
"aital";0;1;0;0;0;0;0;0;0;0;0;0
"aitals";0;0;0;0;0;0;0;1;0;0;0;0
"aitan";0;0;0;0;0;0;2;1;0;1;0;0
"aiuda";0;0;0;0;0;1;0;0;0;0;0;0
"al";0;1;0;1;0;0;0;2;0;2;2;1
"ala";0;0;0;0;0;0;0;0;1;0;0;0
"aladreich";0;0;0;0;0;0;0;1;0;0;0;0
"alcor";0;0;0;0;0;0;0;0;1;0;0;0
"alegra";0;0;0;1;0;0;0;0;0;0;0;0
"alegransa";0;0;0;0;0;0;0;0;1;0;0;0
"alegriers";0;0;0;0;0;0;0;0;0;0;1;0
"alfenir";0;0;0;0;0;0;0;1;0;0;0;0
"alguns";0;0;0;0;0;0;0;0;0;0;1;0
"alissen";0;0;0;0;1;0;0;0;0;0;0;0
"almieu";0;0;0;0;0;0;0;0;0;1;0;0
"als";0;1;2;0;1;4;0;1;0;0;0;0
"am";0;2;0;0;0;0;0;0;0;0;0;1
"ama";1;0;0;0;0;0;0;0;0;0;0;0
"amador";1;0;1;0;0;0;0;0;0;0;0;0
"amadors";0;0;0;0;1;1;0;0;0;0;0;0
"aman";0;0;0;0;0;0;0;1;0;0;1;0
"amans";0;0;0;0;0;0;0;0;0;1;0;0
"amar";0;1;0;0;0;1;0;0;0;0;1;0
"amarai";0;1;0;0;0;0;0;0;0;0;0;0
"amars";0;0;0;0;1;1;0;0;0;0;0;0
"amatz";0;1;0;0;0;0;0;0;0;0;0;0
"amec";0;0;1;0;0;0;0;0;0;0;0;0
"amena";0;0;0;0;1;0;0;0;0;0;0;0
"amerceiar";0;0;0;0;0;1;0;0;0;0;0;0
"ames";0;0;0;0;0;1;0;0;0;0;0;0
"ami";0;0;0;0;1;0;0;0;0;0;0;0
"amia";0;0;0;0;0;0;0;0;0;0;1;1
"amic";0;0;1;0;0;0;1;0;0;0;0;0
"amics";0;0;0;1;2;0;0;0;0;0;0;0
"amor";0;2;1;1;0;0;0;0;0;2;1;1
"amoros";0;0;0;0;0;1;0;0;1;0;0;0
"amors";0;1;0;0;2;2;4;0;1;0;1;0
"amparatz";0;0;0;0;1;0;0;0;0;0;0;0
"an";1;0;0;1;1;0;0;0;1;1;0;0
"anar";0;0;0;0;0;0;0;0;0;1;0;0
"anc";0;0;3;2;0;0;0;1;0;0;1;0
"ancessors";0;0;0;0;1;0;0;0;0;0;0;0
"aneus";0;0;0;0;1;0;0;0;0;0;0;0
"ans";0;0;0;0;1;0;0;0;0;0;0;0
"ant";0;0;0;0;0;0;0;1;0;0;0;0
"anz";0;0;0;0;1;1;4;1;0;1;2;1
"aondana";0;0;0;0;1;0;0;0;0;0;0;0
"apartir";0;0;0;0;0;0;0;0;0;0;0;1
"apellatz";0;0;0;0;1;0;0;0;0;0;0;0
"aperta";0;0;1;0;0;0;0;0;0;0;0;0
"apeus";0;0;0;0;1;0;0;0;0;0;0;0
"aprenen";1;0;0;0;0;0;0;0;0;0;0;0
