"Formes";"Total";"peire d alvernge";"girautz de borneill";"marcabrus";"arnautz daniels";"en raimons de miraval";"helias cairels";"albertetz";"pons de capduoill";"folqetz de marseilla";"gaucelms faiditz";"guillems de cabestain";"bernartz de ventedorn";"peire vidals";"arnautz de maruoill";"peire rotgiers";"guillems ademars";"gui d uissel";"lo monges de montaudo";"lo monges gaubertz";"n uc brunetz";"n aimerics de belenoi";"daurde de pradas";"sordels";"bertrans de lamanon";"jaufres rudels";"lo vescoms de saint antoni";"guillems de saint ledier";"n aimerics de piguillan";"cadenetz";"peirol";"n ucs de sain circ";"perdigons";"raembautz de vacheira";"ricartz de berbesiu";"richartz de tarascon";"n azemars lo negres";"peire bermons lo tort";"n aimeris de sarlat";"hugo de pena";"la comtessa de dia";"na castelloza";"gauserans de saint ledier";"gaubertz amielz";"berengiers de palasol";"peire raimons";"bertolomeus gorgis";"bertrans de born";"peire de la mula";"guillems de bergedan";"lo dalfins d alvernge";"peire de bussinac";"folqetz de romans"
"a";89;1;3;3;1;1;1;1;0;3;5;9;2;3;1;2;1;0;4;2;1;1;1;2;0;4;6;2;2;5;4;4;1;3;1;0;1;0;0;2;0;0;0;0;0;0;2;0;1;0;2;0;1
"ab";66;2;1;1;1;0;0;0;2;3;1;3;2;0;0;4;0;0;0;3;5;0;0;4;0;3;2;0;1;0;1;9;1;2;1;0;0;0;0;0;0;0;0;0;0;0;4;7;1;2;0;0;0
"abadia";3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abandoneron";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"abandonet";2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abas";4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abat";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abellic";2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abrassan";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abrigar";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ac";20;0;0;1;0;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0
"accuillic";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"acuillic";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"acuillimen";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ad";14;0;0;0;2;0;0;0;0;1;0;1;1;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ademars";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ades";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"adoncs";11;2;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"adreitz";2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"affar";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agenes";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
